  ↳ saved bestc_channel_only_finetune.pt | best@69: val loss=0.018867, val nmse(dB)=-13.3046
[70/500] train loss=0.016844, nmse(dB)=-13.5177 | val loss=0.018971, nmse(dB)=-13.2374 | 0.7s
[71/500] train loss=0.016785, nmse(dB)=-13.5537 | val loss=0.018998, nmse(dB)=-13.2739 | 0.7s
[72/500] train loss=0.016746, nmse(dB)=-13.5743 | val loss=0.018965, nmse(dB)=-13.2609 | 0.7s
[73/500] train loss=0.016790, nmse(dB)=-13.5406 | val loss=0.019057, nmse(dB)=-13.2461 | 0.7s
[74/500] train loss=0.016753, nmse(dB)=-13.5549 | val loss=0.018974, nmse(dB)=-13.2657 | 0.7s
[75/500] train loss=0.016780, nmse(dB)=-13.5481 | val loss=0.018941, nmse(dB)=-13.2783 | 0.7s
[76/500] train loss=0.016830, nmse(dB)=-13.5421 | val loss=0.018984, nmse(dB)=-13.2749 | 0.7s
[77/500] train loss=0.016701, nmse(dB)=-13.5798 | val loss=0.018894, nmse(dB)=-13.2920 | 0.7s
[78/500] train loss=0.016707, nmse(dB)=-13.5657 | val loss=0.019127, nmse(dB)=-13.2033 | 0.7s
[79/500] train loss=0.016861, nmse(dB)=-13.5208 | val loss=0.018975, nmse(dB)=-13.2794 | 0.7s
[80/500] train loss=0.016714, nmse(dB)=-13.5664 | val loss=0.018904, nmse(dB)=-13.2911 | 0.7s
[81/500] train loss=0.016719, nmse(dB)=-13.5887 | val loss=0.018954, nmse(dB)=-13.2791 | 0.7s
[82/500] train loss=0.016825, nmse(dB)=-13.5656 | val loss=0.019050, nmse(dB)=-13.2559 | 0.7s
[83/500] train loss=0.016876, nmse(dB)=-13.5262 | val loss=0.018966, nmse(dB)=-13.2677 | 0.7s
[84/500] train loss=0.016792, nmse(dB)=-13.5417 | val loss=0.019187, nmse(dB)=-13.1891 | 0.7s
[85/500] train loss=0.016779, nmse(dB)=-13.5478 | val loss=0.018905, nmse(dB)=-13.2882 | 0.7s
[86/500] train loss=0.016700, nmse(dB)=-13.5708 | val loss=0.018964, nmse(dB)=-13.2824 | 0.7s
[87/500] train loss=0.016802, nmse(dB)=-13.5378 | val loss=0.018979, nmse(dB)=-13.2683 | 0.7s
[88/500] train loss=0.016685, nmse(dB)=-13.5771 | val loss=0.018954, nmse(dB)=-13.2699 | 0.7s
[89/500] train loss=0.016730, nmse(dB)=-13.5480 | val loss=0.019033, nmse(dB)=-13.2400 | 0.7s
[90/500] train loss=0.016937, nmse(dB)=-13.5282 | val loss=0.018970, nmse(dB)=-13.2642 | 0.7s
[91/500] train loss=0.016729, nmse(dB)=-13.5727 | val loss=0.018959, nmse(dB)=-13.2622 | 0.7s
[92/500] train loss=0.016832, nmse(dB)=-13.5417 | val loss=0.018955, nmse(dB)=-13.2637 | 0.7s
[93/500] train loss=0.016722, nmse(dB)=-13.5616 | val loss=0.019122, nmse(dB)=-13.2368 | 0.7s
[94/500] train loss=0.016721, nmse(dB)=-13.5720 | val loss=0.019002, nmse(dB)=-13.2641 | 0.7s
[95/500] train loss=0.016680, nmse(dB)=-13.5627 | val loss=0.019101, nmse(dB)=-13.2094 | 0.7s
[96/500] train loss=0.016707, nmse(dB)=-13.5659 | val loss=0.019119, nmse(dB)=-13.2022 | 0.7s
[97/500] train loss=0.016796, nmse(dB)=-13.5497 | val loss=0.019042, nmse(dB)=-13.2487 | 0.7s
[98/500] train loss=0.016832, nmse(dB)=-13.5357 | val loss=0.018933, nmse(dB)=-13.2656 | 0.7s
[99/500] train loss=0.016796, nmse(dB)=-13.5416 | val loss=0.019052, nmse(dB)=-13.2405 | 0.7s
[100/500] train loss=0.016728, nmse(dB)=-13.5489 | val loss=0.019179, nmse(dB)=-13.1705 | 0.7s
[101/500] train loss=0.016722, nmse(dB)=-13.5527 | val loss=0.018958, nmse(dB)=-13.2719 | 0.7s
[102/500] train loss=0.016715, nmse(dB)=-13.5637 | val loss=0.018995, nmse(dB)=-13.2673 | 0.7s
[103/500] train loss=0.016727, nmse(dB)=-13.5397 | val loss=0.019128, nmse(dB)=-13.2091 | 0.7s
[104/500] train loss=0.016660, nmse(dB)=-13.5768 | val loss=0.018949, nmse(dB)=-13.2746 | 0.7s
[105/500] train loss=0.016633, nmse(dB)=-13.5850 | val loss=0.019006, nmse(dB)=-13.2509 | 0.7s
[106/500] train loss=0.016665, nmse(dB)=-13.5660 | val loss=0.019142, nmse(dB)=-13.2019 | 0.7s
[107/500] train loss=0.016753, nmse(dB)=-13.5542 | val loss=0.018977, nmse(dB)=-13.2472 | 0.7s
[108/500] train loss=0.016805, nmse(dB)=-13.5432 | val loss=0.018991, nmse(dB)=-13.2729 | 0.7s
[109/500] train loss=0.016619, nmse(dB)=-13.5849 | val loss=0.019045, nmse(dB)=-13.2345 | 0.7s
[110/500] train loss=0.016648, nmse(dB)=-13.5630 | val loss=0.018983, nmse(dB)=-13.2697 | 0.7s
[111/500] train loss=0.016649, nmse(dB)=-13.5817 | val loss=0.019083, nmse(dB)=-13.2381 | 0.7s
[112/500] train loss=0.016620, nmse(dB)=-13.5716 | val loss=0.019122, nmse(dB)=-13.2197 | 0.7s
[113/500] train loss=0.016630, nmse(dB)=-13.5776 | val loss=0.019053, nmse(dB)=-13.2313 | 0.7s
[114/500] train loss=0.016670, nmse(dB)=-13.5677 | val loss=0.018965, nmse(dB)=-13.2670 | 0.7s
[115/500] train loss=0.016745, nmse(dB)=-13.5527 | val loss=0.019129, nmse(dB)=-13.2141 | 0.7s
[116/500] train loss=0.016661, nmse(dB)=-13.5564 | val loss=0.018962, nmse(dB)=-13.2662 | 0.7s
[117/500] train loss=0.016630, nmse(dB)=-13.5865 | val loss=0.019059, nmse(dB)=-13.2263 | 0.7s
[118/500] train loss=0.016703, nmse(dB)=-13.5644 | val loss=0.018948, nmse(dB)=-13.2931 | 0.7s
[119/500] train loss=0.016600, nmse(dB)=-13.5825 | val loss=0.019109, nmse(dB)=-13.2201 | 0.7s
[120/500] train loss=0.016672, nmse(dB)=-13.5671 | val loss=0.019060, nmse(dB)=-13.2305 | 0.7s
[121/500] train loss=0.016617, nmse(dB)=-13.5538 | val loss=0.019030, nmse(dB)=-13.2350 | 0.7s
[122/500] train loss=0.016588, nmse(dB)=-13.5711 | val loss=0.019035, nmse(dB)=-13.2360 | 0.7s
[123/500] train loss=0.016602, nmse(dB)=-13.5759 | val loss=0.018933, nmse(dB)=-13.2738 | 0.7s
[124/500] train loss=0.016638, nmse(dB)=-13.5650 | val loss=0.019074, nmse(dB)=-13.2246 | 0.7s
[125/500] train loss=0.016676, nmse(dB)=-13.5308 | val loss=0.019170, nmse(dB)=-13.1905 | 0.7s
