=== LWM | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[100/200] train loss=0.004062 nmse=-18.2398dB | val loss=0.024931 nmse=-10.4553dB | 5.2s
[101/200] train loss=0.004018 nmse=-18.2878dB | val loss=0.024932 nmse=-10.4573dB | 5.3s
[102/200] train loss=0.003973 nmse=-18.3362dB | val loss=0.025028 nmse=-10.4418dB | 5.4s
[103/200] train loss=0.003956 nmse=-18.3563dB | val loss=0.025097 nmse=-10.4256dB | 5.3s
[104/200] train loss=0.003898 nmse=-18.4202dB | val loss=0.024827 nmse=-10.4751dB | 5.3s
[105/200] train loss=0.003861 nmse=-18.4602dB | val loss=0.025003 nmse=-10.4432dB | 5.7s
[106/200] train loss=0.003821 nmse=-18.5084dB | val loss=0.025320 nmse=-10.3887dB | 5.4s
[107/200] train loss=0.003785 nmse=-18.5471dB | val loss=0.025192 nmse=-10.4078dB | 5.0s
[108/200] train loss=0.003746 nmse=-18.5916dB | val loss=0.025060 nmse=-10.4312dB | 5.1s
[109/200] train loss=0.003718 nmse=-18.6241dB | val loss=0.025260 nmse=-10.3993dB | 5.1s
[110/200] train loss=0.003673 nmse=-18.6770dB | val loss=0.025208 nmse=-10.4067dB | 5.0s
[111/200] train loss=0.003660 nmse=-18.6932dB | val loss=0.025050 nmse=-10.4345dB | 4.9s
[112/200] train loss=0.003628 nmse=-18.7331dB | val loss=0.025365 nmse=-10.3778dB | 5.0s
[113/200] train loss=0.003596 nmse=-18.7709dB | val loss=0.025230 nmse=-10.4029dB | 5.0s
[114/200] train loss=0.003570 nmse=-18.8025dB | val loss=0.025419 nmse=-10.3695dB | 4.7s
[115/200] train loss=0.003548 nmse=-18.8290dB | val loss=0.025418 nmse=-10.3689dB | 5.1s
[116/200] train loss=0.003514 nmse=-18.8706dB | val loss=0.025245 nmse=-10.3994dB | 5.3s
[117/200] train loss=0.003480 nmse=-18.9116dB | val loss=0.025433 nmse=-10.3684dB | 4.4s
[118/200] train loss=0.003467 nmse=-18.9287dB | val loss=0.025360 nmse=-10.3779dB | 4.6s
[119/200] train loss=0.003440 nmse=-18.9630dB | val loss=0.025483 nmse=-10.3614dB | 5.1s
[120/200] train loss=0.003413 nmse=-18.9978dB | val loss=0.025471 nmse=-10.3583dB | 5.4s
[121/200] train loss=0.003381 nmse=-19.0389dB | val loss=0.025524 nmse=-10.3502dB | 5.3s
[122/200] train loss=0.003362 nmse=-19.0627dB | val loss=0.025427 nmse=-10.3693dB | 5.2s
[123/200] train loss=0.003336 nmse=-19.0959dB | val loss=0.025469 nmse=-10.3627dB | 5.1s
[124/200] train loss=0.003324 nmse=-19.1125dB | val loss=0.025446 nmse=-10.3649dB | 5.4s
[125/200] train loss=0.003290 nmse=-19.1587dB | val loss=0.025595 nmse=-10.3415dB | 5.3s
[126/200] train loss=0.003272 nmse=-19.1802dB | val loss=0.025529 nmse=-10.3504dB | 4.7s
[127/200] train loss=0.003259 nmse=-19.1974dB | val loss=0.025443 nmse=-10.3676dB | 5.0s
[128/200] train loss=0.003238 nmse=-19.2256dB | val loss=0.025578 nmse=-10.3400dB | 5.3s
[129/200] train loss=0.003219 nmse=-19.2513dB | val loss=0.025540 nmse=-10.3504dB | 5.6s
[130/200] train loss=0.003205 nmse=-19.2705dB | val loss=0.025605 nmse=-10.3371dB | 5.2s
[131/200] train loss=0.003190 nmse=-19.2909dB | val loss=0.025595 nmse=-10.3389dB | 4.9s
[132/200] train loss=0.003170 nmse=-19.3187dB | val loss=0.025533 nmse=-10.3520dB | 4.8s
[133/200] train loss=0.003148 nmse=-19.3473dB | val loss=0.025519 nmse=-10.3538dB | 5.2s
[134/200] train loss=0.003132 nmse=-19.3697dB | val loss=0.025528 nmse=-10.3520dB | 5.2s
[135/200] train loss=0.003120 nmse=-19.3867dB | val loss=0.025691 nmse=-10.3221dB | 4.5s
[136/200] train loss=0.003108 nmse=-19.4029dB | val loss=0.025642 nmse=-10.3313dB | 5.0s
[137/200] train loss=0.003087 nmse=-19.4335dB | val loss=0.025585 nmse=-10.3416dB | 5.3s
[138/200] train loss=0.003079 nmse=-19.4425dB | val loss=0.025679 nmse=-10.3248dB | 4.6s
[139/200] train loss=0.003054 nmse=-19.4800dB | val loss=0.025672 nmse=-10.3244dB | 5.4s
[140/200] train loss=0.003056 nmse=-19.4785dB | val loss=0.025711 nmse=-10.3190dB | 5.3s
[141/200] train loss=0.003038 nmse=-19.5035dB | val loss=0.025838 nmse=-10.2969dB | 5.0s
[142/200] train loss=0.003026 nmse=-19.5205dB | val loss=0.025800 nmse=-10.3052dB | 4.4s
[143/200] train loss=0.003004 nmse=-19.5516dB | val loss=0.025670 nmse=-10.3264dB | 4.9s
[144/200] train loss=0.002995 nmse=-19.5629dB | val loss=0.025822 nmse=-10.3021dB | 5.3s
[145/200] train loss=0.002972 nmse=-19.5961dB | val loss=0.025744 nmse=-10.3130dB | 5.1s
[146/200] train loss=0.002975 nmse=-19.5924dB | val loss=0.025655 nmse=-10.3292dB | 4.8s
[147/200] train loss=0.002954 nmse=-19.6244dB | val loss=0.025784 nmse=-10.3079dB | 4.8s
[148/200] train loss=0.002949 nmse=-19.6316dB | val loss=0.025687 nmse=-10.3239dB | 5.3s
[149/200] train loss=0.002935 nmse=-19.6526dB | val loss=0.025727 nmse=-10.3157dB | 5.2s
[150/200] train loss=0.002938 nmse=-19.6493dB | val loss=0.025838 nmse=-10.2996dB | 4.9s
[151/200] train loss=0.002933 nmse=-19.6556dB | val loss=0.025780 nmse=-10.3073dB | 5.2s
[152/200] train loss=0.002914 nmse=-19.6837dB | val loss=0.025806 nmse=-10.3044dB | 5.2s
[153/200] train loss=0.002911 nmse=-19.6869dB | val loss=0.025784 nmse=-10.3081dB | 5.4s
[154/200] train loss=0.002900 nmse=-19.7040dB | val loss=0.025785 nmse=-10.3084dB | 5.6s
[155/200] train loss=0.002881 nmse=-19.7329dB | val loss=0.025819 nmse=-10.2999dB | 5.4s
[156/200] train loss=0.002885 nmse=-19.7285dB | val loss=0.025794 nmse=-10.3050dB | 4.6s
[157/200] train loss=0.002871 nmse=-19.7475dB | val loss=0.025744 nmse=-10.3140dB | 5.5s
[158/200] train loss=0.002871 nmse=-19.7475dB | val loss=0.025885 nmse=-10.2901dB | 5.6s
[159/200] train loss=0.002860 nmse=-19.7635dB | val loss=0.025886 nmse=-10.2901dB | 5.1s
[160/200] train loss=0.002854 nmse=-19.7725dB | val loss=0.025794 nmse=-10.3056dB | 4.8s
[161/200] train loss=0.002850 nmse=-19.7793dB | val loss=0.025773 nmse=-10.3095dB | 5.4s
[162/200] train loss=0.002838 nmse=-19.8000dB | val loss=0.025921 nmse=-10.2847dB | 4.9s
[163/200] train loss=0.002830 nmse=-19.8111dB | val loss=0.025840 nmse=-10.2981dB | 5.2s
[164/200] train loss=0.002828 nmse=-19.8147dB | val loss=0.025843 nmse=-10.2982dB | 4.8s
[165/200] train loss=0.002820 nmse=-19.8260dB | val loss=0.025814 nmse=-10.3022dB | 5.0s
[166/200] train loss=0.002833 nmse=-19.8073dB | val loss=0.025762 nmse=-10.3111dB | 5.3s
[167/200] train loss=0.002828 nmse=-19.8126dB | val loss=0.025861 nmse=-10.2946dB | 4.9s
[168/200] train loss=0.002801 nmse=-19.8561dB | val loss=0.025825 nmse=-10.3013dB | 4.4s
[169/200] train loss=0.002814 nmse=-19.8368dB | val loss=0.025857 nmse=-10.2952dB | 4.7s
[170/200] train loss=0.002813 nmse=-19.8365dB | val loss=0.025834 nmse=-10.2997dB | 4.8s
[171/200] train loss=0.002798 nmse=-19.8593dB | val loss=0.025834 nmse=-10.2982dB | 5.3s
[172/200] train loss=0.002793 nmse=-19.8688dB | val loss=0.025767 nmse=-10.3102dB | 5.4s
[173/200] train loss=0.002791 nmse=-19.8727dB | val loss=0.025705 nmse=-10.3207dB | 5.4s
[174/200] train loss=0.002786 nmse=-19.8790dB | val loss=0.025848 nmse=-10.2974dB | 4.8s
[175/200] train loss=0.002790 nmse=-19.8724dB | val loss=0.025893 nmse=-10.2893dB | 5.5s
[176/200] train loss=0.002786 nmse=-19.8786dB | val loss=0.025881 nmse=-10.2905dB | 4.5s
[177/200] train loss=0.002786 nmse=-19.8803dB | val loss=0.025892 nmse=-10.2888dB | 5.3s
[178/200] train loss=0.002775 nmse=-19.8949dB | val loss=0.025952 nmse=-10.2790dB | 5.6s
[179/200] train loss=0.002771 nmse=-19.9020dB | val loss=0.025914 nmse=-10.2854dB | 4.7s
[180/200] train loss=0.002773 nmse=-19.8984dB | val loss=0.025867 nmse=-10.2924dB | 4.7s
[181/200] train loss=0.002774 nmse=-19.8973dB | val loss=0.025887 nmse=-10.2891dB | 5.2s
[182/200] train loss=0.002776 nmse=-19.8947dB | val loss=0.025870 nmse=-10.2923dB | 5.3s
[183/200] train loss=0.002771 nmse=-19.9040dB | val loss=0.025895 nmse=-10.2884dB | 5.5s
[184/200] train loss=0.002768 nmse=-19.9071dB | val loss=0.025879 nmse=-10.2917dB | 5.1s
[185/200] train loss=0.002775 nmse=-19.8968dB | val loss=0.025862 nmse=-10.2943dB | 5.1s
[186/200] train loss=0.002769 nmse=-19.9075dB | val loss=0.025895 nmse=-10.2885dB | 5.3s
[187/200] train loss=0.002767 nmse=-19.9086dB | val loss=0.025903 nmse=-10.2874dB | 4.7s
[188/200] train loss=0.002768 nmse=-19.9060dB | val loss=0.025861 nmse=-10.2942dB | 5.3s
[189/200] train loss=0.002768 nmse=-19.9083dB | val loss=0.025887 nmse=-10.2903dB | 4.7s
[190/200] train loss=0.002761 nmse=-19.9190dB | val loss=0.025908 nmse=-10.2866dB | 4.9s
[191/200] train loss=0.002759 nmse=-19.9205dB | val loss=0.025892 nmse=-10.2892dB | 5.5s
[192/200] train loss=0.002764 nmse=-19.9139dB | val loss=0.025873 nmse=-10.2926dB | 5.2s
[193/200] train loss=0.002767 nmse=-19.9096dB | val loss=0.025895 nmse=-10.2886dB | 5.1s
[194/200] train loss=0.002763 nmse=-19.9133dB | val loss=0.025895 nmse=-10.2886dB | 5.2s
[195/200] train loss=0.002756 nmse=-19.9256dB | val loss=0.025906 nmse=-10.2867dB | 5.2s
[196/200] train loss=0.002765 nmse=-19.9123dB | val loss=0.025910 nmse=-10.2860dB | 5.3s
[197/200] train loss=0.002749 nmse=-19.9357dB | val loss=0.025910 nmse=-10.2860dB | 5.0s
[198/200] train loss=0.002761 nmse=-19.9170dB | val loss=0.025906 nmse=-10.2867dB | 4.7s
[199/200] train loss=0.002763 nmse=-19.9139dB | val loss=0.025906 nmse=-10.2867dB | 5.0s
[200/200] train loss=0.002766 nmse=-19.9106dB | val loss=0.025906 nmse=-10.2867dB | 5.4s

=== Done === 0h 16m 55s | Best epoch 17: val loss=0.017226 nmse=-12.0082dB
