[97/500] train loss=0.016551, nmse(dB)=-13.5988 | val loss=0.019001, nmse(dB)=-13.2825 | 0.7s
[98/500] train loss=0.016548, nmse(dB)=-13.5905 | val loss=0.018923, nmse(dB)=-13.2722 | 0.7s
[99/500] train loss=0.016501, nmse(dB)=-13.6221 | val loss=0.019004, nmse(dB)=-13.2442 | 0.7s
[100/500] train loss=0.016408, nmse(dB)=-13.6385 | val loss=0.018951, nmse(dB)=-13.2902 | 0.7s
[101/500] train loss=0.016415, nmse(dB)=-13.6348 | val loss=0.018953, nmse(dB)=-13.2654 | 0.7s
[102/500] train loss=0.016456, nmse(dB)=-13.6312 | val loss=0.018977, nmse(dB)=-13.2645 | 0.7s
[103/500] train loss=0.016373, nmse(dB)=-13.6390 | val loss=0.019086, nmse(dB)=-13.2406 | 0.7s
[104/500] train loss=0.016443, nmse(dB)=-13.6338 | val loss=0.019008, nmse(dB)=-13.2416 | 0.7s
[105/500] train loss=0.016454, nmse(dB)=-13.6229 | val loss=0.018967, nmse(dB)=-13.2634 | 0.7s
[106/500] train loss=0.016438, nmse(dB)=-13.6465 | val loss=0.018950, nmse(dB)=-13.2895 | 0.7s
[107/500] train loss=0.016401, nmse(dB)=-13.6217 | val loss=0.018980, nmse(dB)=-13.2727 | 0.7s
[108/500] train loss=0.016463, nmse(dB)=-13.6122 | val loss=0.019035, nmse(dB)=-13.2494 | 0.7s
[109/500] train loss=0.016404, nmse(dB)=-13.6060 | val loss=0.019018, nmse(dB)=-13.2549 | 0.7s
[110/500] train loss=0.016440, nmse(dB)=-13.6067 | val loss=0.019043, nmse(dB)=-13.2389 | 0.7s
[111/500] train loss=0.016269, nmse(dB)=-13.6665 | val loss=0.018993, nmse(dB)=-13.2784 | 0.7s
[112/500] train loss=0.016293, nmse(dB)=-13.6711 | val loss=0.019000, nmse(dB)=-13.2498 | 0.7s
[113/500] train loss=0.016303, nmse(dB)=-13.6373 | val loss=0.019102, nmse(dB)=-13.2137 | 0.7s
[114/500] train loss=0.016325, nmse(dB)=-13.6424 | val loss=0.019041, nmse(dB)=-13.2483 | 0.7s
[115/500] train loss=0.016344, nmse(dB)=-13.6551 | val loss=0.018991, nmse(dB)=-13.2722 | 0.7s
[116/500] train loss=0.016287, nmse(dB)=-13.6593 | val loss=0.018956, nmse(dB)=-13.2750 | 0.7s
[117/500] train loss=0.016261, nmse(dB)=-13.6582 | val loss=0.019008, nmse(dB)=-13.2539 | 0.7s
