=== LSTM | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[094/200] train loss=0.009094 nmse=-14.7406dB | val loss=0.021373 nmse=-11.0890dB | 1.0s
[095/200] train loss=0.009057 nmse=-14.7584dB | val loss=0.021499 nmse=-11.0663dB | 0.9s
[096/200] train loss=0.008994 nmse=-14.7893dB | val loss=0.021539 nmse=-11.0553dB | 0.9s
[097/200] train loss=0.008963 nmse=-14.8039dB | val loss=0.021494 nmse=-11.0652dB | 0.9s
[098/200] train loss=0.008891 nmse=-14.8395dB | val loss=0.021621 nmse=-11.0414dB | 0.9s
[099/200] train loss=0.008838 nmse=-14.8654dB | val loss=0.021584 nmse=-11.0463dB | 0.9s
[100/200] train loss=0.008774 nmse=-14.8957dB | val loss=0.021670 nmse=-11.0279dB | 0.8s
[101/200] train loss=0.008742 nmse=-14.9140dB | val loss=0.021484 nmse=-11.0668dB | 0.9s
[102/200] train loss=0.008696 nmse=-14.9361dB | val loss=0.021701 nmse=-11.0206dB | 0.8s
[103/200] train loss=0.008646 nmse=-14.9592dB | val loss=0.021770 nmse=-11.0077dB | 0.8s
[104/200] train loss=0.008595 nmse=-14.9860dB | val loss=0.021704 nmse=-11.0178dB | 0.8s
[105/200] train loss=0.008553 nmse=-15.0076dB | val loss=0.021817 nmse=-11.0012dB | 0.8s
[106/200] train loss=0.008506 nmse=-15.0317dB | val loss=0.021828 nmse=-10.9974dB | 0.9s
[107/200] train loss=0.008452 nmse=-15.0578dB | val loss=0.021968 nmse=-10.9698dB | 0.8s
[108/200] train loss=0.008414 nmse=-15.0801dB | val loss=0.021783 nmse=-11.0072dB | 0.8s
[109/200] train loss=0.008374 nmse=-15.0998dB | val loss=0.022148 nmse=-10.9298dB | 0.9s
[110/200] train loss=0.008334 nmse=-15.1193dB | val loss=0.021913 nmse=-10.9794dB | 0.9s
[111/200] train loss=0.008300 nmse=-15.1386dB | val loss=0.022097 nmse=-10.9440dB | 0.8s
[112/200] train loss=0.008246 nmse=-15.1664dB | val loss=0.022063 nmse=-10.9457dB | 0.8s
[113/200] train loss=0.008202 nmse=-15.1899dB | val loss=0.022132 nmse=-10.9358dB | 1.0s
[114/200] train loss=0.008166 nmse=-15.2092dB | val loss=0.022002 nmse=-10.9656dB | 0.8s
[115/200] train loss=0.008132 nmse=-15.2269dB | val loss=0.021946 nmse=-10.9727dB | 1.0s
[116/200] train loss=0.008077 nmse=-15.2563dB | val loss=0.022227 nmse=-10.9175dB | 0.8s
[117/200] train loss=0.008034 nmse=-15.2790dB | val loss=0.022156 nmse=-10.9308dB | 0.9s
[118/200] train loss=0.007997 nmse=-15.2998dB | val loss=0.022167 nmse=-10.9345dB | 0.8s
[119/200] train loss=0.007949 nmse=-15.3262dB | val loss=0.022317 nmse=-10.9020dB | 0.8s
[120/200] train loss=0.007926 nmse=-15.3385dB | val loss=0.022391 nmse=-10.8868dB | 1.0s
[121/200] train loss=0.007881 nmse=-15.3631dB | val loss=0.022277 nmse=-10.9080dB | 0.8s
[122/200] train loss=0.007843 nmse=-15.3833dB | val loss=0.022287 nmse=-10.9089dB | 0.8s
[123/200] train loss=0.007808 nmse=-15.4035dB | val loss=0.022360 nmse=-10.8933dB | 0.8s
[124/200] train loss=0.007780 nmse=-15.4197dB | val loss=0.022277 nmse=-10.9121dB | 1.1s
