=== LSTM | Case1 SC-wise | scenes=1000 | train=377,856 | val=117,760 ===
[084/200] train loss=0.001666 nmse=-22.0902dB | val loss=0.024550 nmse=-10.4126dB | 7.8s
[085/200] train loss=0.001634 nmse=-22.1748dB | val loss=0.024645 nmse=-10.3959dB | 7.1s
[086/200] train loss=0.001609 nmse=-22.2423dB | val loss=0.024818 nmse=-10.3656dB | 7.1s
[087/200] train loss=0.001585 nmse=-22.3070dB | val loss=0.024685 nmse=-10.3889dB | 6.9s
[088/200] train loss=0.001561 nmse=-22.3734dB | val loss=0.024608 nmse=-10.4024dB | 7.8s
[089/200] train loss=0.001539 nmse=-22.4345dB | val loss=0.024611 nmse=-10.4018dB | 7.1s
[090/200] train loss=0.001515 nmse=-22.5025dB | val loss=0.024578 nmse=-10.4076dB | 7.4s
[091/200] train loss=0.001494 nmse=-22.5645dB | val loss=0.024733 nmse=-10.3803dB | 7.5s
[092/200] train loss=0.001473 nmse=-22.6247dB | val loss=0.024610 nmse=-10.4020dB | 7.5s
[093/200] train loss=0.001448 nmse=-22.6979dB | val loss=0.024585 nmse=-10.4064dB | 7.6s
[094/200] train loss=0.001430 nmse=-22.7549dB | val loss=0.024604 nmse=-10.4031dB | 7.2s
[095/200] train loss=0.001408 nmse=-22.8204dB | val loss=0.024600 nmse=-10.4038dB | 7.4s
[096/200] train loss=0.001389 nmse=-22.8785dB | val loss=0.024513 nmse=-10.4191dB | 7.8s
[097/200] train loss=0.001368 nmse=-22.9463dB | val loss=0.024477 nmse=-10.4255dB | 7.5s
[098/200] train loss=0.001350 nmse=-23.0032dB | val loss=0.024422 nmse=-10.4354dB | 7.8s
[099/200] train loss=0.001330 nmse=-23.0685dB | val loss=0.024613 nmse=-10.4015dB | 7.8s
[100/200] train loss=0.001310 nmse=-23.1327dB | val loss=0.024647 nmse=-10.3955dB | 7.1s
[101/200] train loss=0.001294 nmse=-23.1874dB | val loss=0.024653 nmse=-10.3944dB | 7.3s
[102/200] train loss=0.001276 nmse=-23.2474dB | val loss=0.024522 nmse=-10.4177dB | 7.7s
[103/200] train loss=0.001259 nmse=-23.3079dB | val loss=0.024475 nmse=-10.4259dB | 7.4s
[104/200] train loss=0.001242 nmse=-23.3653dB | val loss=0.024584 nmse=-10.4067dB | 7.0s
[105/200] train loss=0.001225 nmse=-23.4254dB | val loss=0.024546 nmse=-10.4133dB | 7.5s
[106/200] train loss=0.001212 nmse=-23.4717dB | val loss=0.024487 nmse=-10.4238dB | 7.8s
[107/200] train loss=0.001195 nmse=-23.5324dB | val loss=0.024517 nmse=-10.4185dB | 7.9s
[108/200] train loss=0.001181 nmse=-23.5838dB | val loss=0.024511 nmse=-10.4195dB | 7.8s
[109/200] train loss=0.001164 nmse=-23.6475dB | val loss=0.024547 nmse=-10.4132dB | 7.5s
[110/200] train loss=0.001152 nmse=-23.6908dB | val loss=0.024544 nmse=-10.4138dB | 7.1s
[111/200] train loss=0.001138 nmse=-23.7463dB | val loss=0.024511 nmse=-10.4196dB | 7.1s
[112/200] train loss=0.001124 nmse=-23.7984dB | val loss=0.024521 nmse=-10.4178dB | 7.5s
[113/200] train loss=0.001113 nmse=-23.8433dB | val loss=0.024502 nmse=-10.4211dB | 7.1s
[114/200] train loss=0.001101 nmse=-23.8889dB | val loss=0.024517 nmse=-10.4184dB | 7.2s
[115/200] train loss=0.001088 nmse=-23.9409dB | val loss=0.024511 nmse=-10.4195dB | 7.7s
[116/200] train loss=0.001077 nmse=-23.9866dB | val loss=0.024488 nmse=-10.4235dB | 7.8s
[117/200] train loss=0.001064 nmse=-24.0365dB | val loss=0.024483 nmse=-10.4246dB | 7.2s
[118/200] train loss=0.001054 nmse=-24.0776dB | val loss=0.024500 nmse=-10.4215dB | 7.4s
[119/200] train loss=0.001044 nmse=-24.1197dB | val loss=0.024388 nmse=-10.4414dB | 7.1s
[120/200] train loss=0.001036 nmse=-24.1531dB | val loss=0.024432 nmse=-10.4336dB | 7.6s
[121/200] train loss=0.001022 nmse=-24.2118dB | val loss=0.024448 nmse=-10.4307dB | 6.8s
[122/200] train loss=0.001014 nmse=-24.2464dB | val loss=0.024496 nmse=-10.4223dB | 7.1s
[123/200] train loss=0.001005 nmse=-24.2874dB | val loss=0.024613 nmse=-10.4015dB | 6.7s
[124/200] train loss=0.000995 nmse=-24.3307dB | val loss=0.024464 nmse=-10.4278dB | 7.4s
[125/200] train loss=0.000986 nmse=-24.3668dB | val loss=0.024387 nmse=-10.4416dB | 7.7s
[126/200] train loss=0.000978 nmse=-24.4055dB | val loss=0.024483 nmse=-10.4246dB | 7.8s
[127/200] train loss=0.000969 nmse=-24.4452dB | val loss=0.024501 nmse=-10.4213dB | 7.9s
[128/200] train loss=0.000962 nmse=-24.4749dB | val loss=0.024490 nmse=-10.4234dB | 7.1s
[129/200] train loss=0.000953 nmse=-24.5161dB | val loss=0.024517 nmse=-10.4185dB | 6.5s
[130/200] train loss=0.000946 nmse=-24.5503dB | val loss=0.024572 nmse=-10.4088dB | 6.4s
[131/200] train loss=0.000939 nmse=-24.5824dB | val loss=0.024421 nmse=-10.4355dB | 7.1s
[132/200] train loss=0.000931 nmse=-24.6159dB | val loss=0.024437 nmse=-10.4327dB | 6.7s
[133/200] train loss=0.000925 nmse=-24.6478dB | val loss=0.024460 nmse=-10.4286dB | 7.5s
[134/200] train loss=0.000918 nmse=-24.6782dB | val loss=0.024440 nmse=-10.4322dB | 7.7s
[135/200] train loss=0.000912 nmse=-24.7077dB | val loss=0.024403 nmse=-10.4387dB | 7.2s
[136/200] train loss=0.000906 nmse=-24.7343dB | val loss=0.024415 nmse=-10.4366dB | 7.8s
[137/200] train loss=0.000900 nmse=-24.7650dB | val loss=0.024445 nmse=-10.4313dB | 7.7s
[138/200] train loss=0.000893 nmse=-24.7997dB | val loss=0.024395 nmse=-10.4402dB | 7.7s
[139/200] train loss=0.000888 nmse=-24.8219dB | val loss=0.024444 nmse=-10.4314dB | 7.9s
[140/200] train loss=0.000884 nmse=-24.8439dB | val loss=0.024475 nmse=-10.4258dB | 7.8s
[141/200] train loss=0.000877 nmse=-24.8781dB | val loss=0.024372 nmse=-10.4443dB | 7.7s
[142/200] train loss=0.000871 nmse=-24.9051dB | val loss=0.024437 nmse=-10.4327dB | 7.8s
[143/200] train loss=0.000868 nmse=-24.9211dB | val loss=0.024389 nmse=-10.4412dB | 7.8s
[144/200] train loss=0.000864 nmse=-24.9428dB | val loss=0.024380 nmse=-10.4429dB | 7.0s
[145/200] train loss=0.000858 nmse=-24.9736dB | val loss=0.024391 nmse=-10.4409dB | 7.0s
[146/200] train loss=0.000854 nmse=-24.9929dB | val loss=0.024402 nmse=-10.4388dB | 7.0s
[147/200] train loss=0.000850 nmse=-25.0108dB | val loss=0.024416 nmse=-10.4364dB | 7.6s
