=== lwm_finetune | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[137/200] train loss=0.007737 nmse=-15.4426dB | val loss=0.021258 nmse=-11.1069dB | 5.6s
[138/200] train loss=0.007697 nmse=-15.4658dB | val loss=0.021214 nmse=-11.1153dB | 5.3s
[139/200] train loss=0.007689 nmse=-15.4703dB | val loss=0.021046 nmse=-11.1483dB | 5.4s
[140/200] train loss=0.007677 nmse=-15.4769dB | val loss=0.021236 nmse=-11.1089dB | 5.2s
[141/200] train loss=0.007653 nmse=-15.4898dB | val loss=0.021132 nmse=-11.1306dB | 5.4s
[142/200] train loss=0.007631 nmse=-15.5016dB | val loss=0.021118 nmse=-11.1336dB | 5.3s
[143/200] train loss=0.007638 nmse=-15.4996dB | val loss=0.021077 nmse=-11.1455dB | 5.1s
[144/200] train loss=0.007597 nmse=-15.5212dB | val loss=0.021181 nmse=-11.1234dB | 4.7s
[145/200] train loss=0.007597 nmse=-15.5216dB | val loss=0.021313 nmse=-11.0955dB | 5.5s
[146/200] train loss=0.007580 nmse=-15.5326dB | val loss=0.021172 nmse=-11.1234dB | 4.4s
[147/200] train loss=0.007553 nmse=-15.5482dB | val loss=0.021201 nmse=-11.1180dB | 4.8s
[148/200] train loss=0.007566 nmse=-15.5396dB | val loss=0.021136 nmse=-11.1298dB | 4.4s
[149/200] train loss=0.007553 nmse=-15.5478dB | val loss=0.021269 nmse=-11.1048dB | 5.5s
[150/200] train loss=0.007526 nmse=-15.5626dB | val loss=0.021140 nmse=-11.1279dB | 5.7s
[151/200] train loss=0.007516 nmse=-15.5694dB | val loss=0.021229 nmse=-11.1114dB | 5.3s
[152/200] train loss=0.007519 nmse=-15.5672dB | val loss=0.021253 nmse=-11.1063dB | 5.5s
[153/200] train loss=0.007500 nmse=-15.5781dB | val loss=0.021194 nmse=-11.1182dB | 4.9s
[154/200] train loss=0.007488 nmse=-15.5842dB | val loss=0.021198 nmse=-11.1177dB | 5.3s
[155/200] train loss=0.007480 nmse=-15.5905dB | val loss=0.021232 nmse=-11.1109dB | 4.7s
[156/200] train loss=0.007461 nmse=-15.5999dB | val loss=0.021389 nmse=-11.0797dB | 4.7s
[157/200] train loss=0.007465 nmse=-15.5991dB | val loss=0.021363 nmse=-11.0841dB | 5.4s
[158/200] train loss=0.007440 nmse=-15.6111dB | val loss=0.021272 nmse=-11.1018dB | 5.5s
[159/200] train loss=0.007432 nmse=-15.6168dB | val loss=0.021215 nmse=-11.1149dB | 5.5s
[160/200] train loss=0.007435 nmse=-15.6162dB | val loss=0.021402 nmse=-11.0758dB | 5.5s
[161/200] train loss=0.007416 nmse=-15.6263dB | val loss=0.021112 nmse=-11.1359dB | 5.2s
[162/200] train loss=0.007397 nmse=-15.6373dB | val loss=0.021330 nmse=-11.0920dB | 5.0s
[163/200] train loss=0.007407 nmse=-15.6318dB | val loss=0.021264 nmse=-11.1061dB | 5.5s
[164/200] train loss=0.007391 nmse=-15.6413dB | val loss=0.021298 nmse=-11.1003dB | 5.6s
[165/200] train loss=0.007388 nmse=-15.6432dB | val loss=0.021268 nmse=-11.1033dB | 5.6s
[166/200] train loss=0.007379 nmse=-15.6485dB | val loss=0.021200 nmse=-11.1179dB | 4.9s
[167/200] train loss=0.007395 nmse=-15.6381dB | val loss=0.021209 nmse=-11.1170dB | 5.3s
[168/200] train loss=0.007387 nmse=-15.6450dB | val loss=0.021223 nmse=-11.1124dB | 5.5s
[169/200] train loss=0.007374 nmse=-15.6531dB | val loss=0.021349 nmse=-11.0893dB | 5.5s
[170/200] train loss=0.007377 nmse=-15.6495dB | val loss=0.021244 nmse=-11.1095dB | 5.4s
[171/200] train loss=0.007351 nmse=-15.6656dB | val loss=0.021245 nmse=-11.1090dB | 5.6s
[172/200] train loss=0.007347 nmse=-15.6675dB | val loss=0.021278 nmse=-11.1034dB | 5.6s
[173/200] train loss=0.007344 nmse=-15.6694dB | val loss=0.021246 nmse=-11.1084dB | 5.5s
[174/200] train loss=0.007347 nmse=-15.6679dB | val loss=0.021279 nmse=-11.1012dB | 5.6s
[175/200] train loss=0.007335 nmse=-15.6734dB | val loss=0.021329 nmse=-11.0919dB | 4.9s
[176/200] train loss=0.007349 nmse=-15.6648dB | val loss=0.021275 nmse=-11.1018dB | 5.7s
[177/200] train loss=0.007344 nmse=-15.6693dB | val loss=0.021271 nmse=-11.1040dB | 5.4s
[178/200] train loss=0.007341 nmse=-15.6710dB | val loss=0.021207 nmse=-11.1169dB | 5.0s
[179/200] train loss=0.007328 nmse=-15.6785dB | val loss=0.021297 nmse=-11.0986dB | 5.4s
[180/200] train loss=0.007324 nmse=-15.6807dB | val loss=0.021260 nmse=-11.1059dB | 5.7s
[181/200] train loss=0.007329 nmse=-15.6787dB | val loss=0.021276 nmse=-11.1029dB | 5.7s
[182/200] train loss=0.007317 nmse=-15.6856dB | val loss=0.021340 nmse=-11.0902dB | 5.6s
[183/200] train loss=0.007302 nmse=-15.6945dB | val loss=0.021331 nmse=-11.0919dB | 5.2s
[184/200] train loss=0.007321 nmse=-15.6834dB | val loss=0.021286 nmse=-11.1003dB | 5.0s
[185/200] train loss=0.007304 nmse=-15.6929dB | val loss=0.021263 nmse=-11.1042dB | 5.1s
[186/200] train loss=0.007306 nmse=-15.6918dB | val loss=0.021286 nmse=-11.1003dB | 4.9s
[187/200] train loss=0.007306 nmse=-15.6913dB | val loss=0.021304 nmse=-11.0968dB | 4.8s
[188/200] train loss=0.007308 nmse=-15.6905dB | val loss=0.021290 nmse=-11.0999dB | 5.5s
[189/200] train loss=0.007301 nmse=-15.6958dB | val loss=0.021290 nmse=-11.0995dB | 5.6s
[190/200] train loss=0.007308 nmse=-15.6905dB | val loss=0.021284 nmse=-11.1005dB | 5.5s
[191/200] train loss=0.007291 nmse=-15.7008dB | val loss=0.021299 nmse=-11.0977dB | 5.3s
[192/200] train loss=0.007291 nmse=-15.7013dB | val loss=0.021316 nmse=-11.0943dB | 5.4s
[193/200] train loss=0.007302 nmse=-15.6934dB | val loss=0.021316 nmse=-11.0945dB | 5.2s
[194/200] train loss=0.007298 nmse=-15.6982dB | val loss=0.021295 nmse=-11.0988dB | 4.7s
[195/200] train loss=0.007293 nmse=-15.7000dB | val loss=0.021297 nmse=-11.0984dB | 5.1s
[196/200] train loss=0.007289 nmse=-15.7014dB | val loss=0.021311 nmse=-11.0955dB | 5.3s
[197/200] train loss=0.007283 nmse=-15.7048dB | val loss=0.021312 nmse=-11.0952dB | 5.6s
[198/200] train loss=0.007281 nmse=-15.7059dB | val loss=0.021307 nmse=-11.0964dB | 4.8s
[199/200] train loss=0.007299 nmse=-15.6947dB | val loss=0.021306 nmse=-11.0965dB | 5.3s
[200/200] train loss=0.007306 nmse=-15.6932dB | val loss=0.021306 nmse=-11.0965dB | 5.6s

=== Done === 0h 17m 18s | Best epoch 4: val loss=0.017274 nmse=-11.9961dB
