[63/500] train loss=0.016049, nmse(dB)=-13.9107 | val loss=0.016209, nmse(dB)=-13.7834 | 13.2s
[64/500] train loss=0.016038, nmse(dB)=-13.9168 | val loss=0.016195, nmse(dB)=-13.7882 | 13.4s
[65/500] train loss=0.016063, nmse(dB)=-13.9123 | val loss=0.016192, nmse(dB)=-13.7995 | 13.5s
[66/500] train loss=0.016033, nmse(dB)=-13.9183 | val loss=0.016187, nmse(dB)=-13.7971 | 13.3s
[67/500] train loss=0.016050, nmse(dB)=-13.9243 | val loss=0.016247, nmse(dB)=-13.7658 | 13.2s
[68/500] train loss=0.016021, nmse(dB)=-13.9260 | val loss=0.016199, nmse(dB)=-13.7869 | 13.3s
[69/500] train loss=0.016037, nmse(dB)=-13.9186 | val loss=0.016180, nmse(dB)=-13.8021 | 13.1s
[70/500] train loss=0.016031, nmse(dB)=-13.9229 | val loss=0.016192, nmse(dB)=-13.7907 | 13.1s
[71/500] train loss=0.016049, nmse(dB)=-13.9121 | val loss=0.016169, nmse(dB)=-13.8108 | 13.2s
  ↳ saved best_channel_transformer2_fintune_scene7000.pt | best@71: val loss=0.016169, val nmse(dB)=-13.8108
[72/500] train loss=0.016049, nmse(dB)=-13.9154 | val loss=0.016198, nmse(dB)=-13.7938 | 13.3s
[73/500] train loss=0.016060, nmse(dB)=-13.9097 | val loss=0.016183, nmse(dB)=-13.8007 | 13.2s
[74/500] train loss=0.016038, nmse(dB)=-13.9216 | val loss=0.016240, nmse(dB)=-13.7696 | 13.6s
[75/500] train loss=0.016024, nmse(dB)=-13.9217 | val loss=0.016206, nmse(dB)=-13.7891 | 13.4s
[76/500] train loss=0.016070, nmse(dB)=-13.9158 | val loss=0.016245, nmse(dB)=-13.7633 | 13.1s
[77/500] train loss=0.016050, nmse(dB)=-13.9129 | val loss=0.016201, nmse(dB)=-13.7923 | 13.4s
[78/500] train loss=0.016028, nmse(dB)=-13.9253 | val loss=0.016184, nmse(dB)=-13.8004 | 13.2s
[79/500] train loss=0.016031, nmse(dB)=-13.9281 | val loss=0.016215, nmse(dB)=-13.7850 | 13.1s
[80/500] train loss=0.016031, nmse(dB)=-13.9241 | val loss=0.016188, nmse(dB)=-13.7984 | 13.2s
[81/500] train loss=0.016046, nmse(dB)=-13.9140 | val loss=0.016185, nmse(dB)=-13.8038 | 13.1s
[82/500] train loss=0.016039, nmse(dB)=-13.9143 | val loss=0.016200, nmse(dB)=-13.7959 | 13.1s
[83/500] train loss=0.016029, nmse(dB)=-13.9243 | val loss=0.016196, nmse(dB)=-13.7950 | 13.9s
[84/500] train loss=0.016045, nmse(dB)=-13.9135 | val loss=0.016216, nmse(dB)=-13.7827 | 13.1s
[85/500] train loss=0.016045, nmse(dB)=-13.9149 | val loss=0.016193, nmse(dB)=-13.7953 | 13.2s
[86/500] train loss=0.016051, nmse(dB)=-13.9171 | val loss=0.016193, nmse(dB)=-13.7897 | 13.4s
[87/500] train loss=0.016042, nmse(dB)=-13.9231 | val loss=0.016213, nmse(dB)=-13.7808 | 13.2s
[88/500] train loss=0.016010, nmse(dB)=-13.9237 | val loss=0.016182, nmse(dB)=-13.7983 | 13.2s
[89/500] train loss=0.016028, nmse(dB)=-13.9259 | val loss=0.016209, nmse(dB)=-13.7802 | 13.3s
[90/500] train loss=0.016032, nmse(dB)=-13.9251 | val loss=0.016183, nmse(dB)=-13.8032 | 13.5s
[91/500] train loss=0.016037, nmse(dB)=-13.9314 | val loss=0.016242, nmse(dB)=-13.7658 | 13.6s
[92/500] train loss=0.016021, nmse(dB)=-13.9233 | val loss=0.016200, nmse(dB)=-13.7886 | 13.3s
[93/500] train loss=0.016011, nmse(dB)=-13.9309 | val loss=0.016184, nmse(dB)=-13.7987 | 13.2s
[94/500] train loss=0.016026, nmse(dB)=-13.9238 | val loss=0.016198, nmse(dB)=-13.7903 | 13.4s
[95/500] train loss=0.016058, nmse(dB)=-13.9221 | val loss=0.016200, nmse(dB)=-13.7938 | 13.3s
[96/500] train loss=0.016018, nmse(dB)=-13.9274 | val loss=0.016205, nmse(dB)=-13.7923 | 13.3s
[97/500] train loss=0.016017, nmse(dB)=-13.9228 | val loss=0.016184, nmse(dB)=-13.8000 | 13.2s
[98/500] train loss=0.016050, nmse(dB)=-13.9169 | val loss=0.016184, nmse(dB)=-13.7989 | 13.4s
[99/500] train loss=0.016028, nmse(dB)=-13.9232 | val loss=0.016223, nmse(dB)=-13.7809 | 13.7s
[100/500] train loss=0.016036, nmse(dB)=-13.9230 | val loss=0.016192, nmse(dB)=-13.7901 | 13.4s
[101/500] train loss=0.016047, nmse(dB)=-13.9210 | val loss=0.016208, nmse(dB)=-13.7863 | 13.6s
