=== lwm_fromScratch | Case1 SC-wise | scenes=1000 | train=47,232 | val=14,720 ===
[087/200] train loss=0.004732 nmse=-17.5777dB | val loss=0.024836 nmse=-10.4766dB | 5.2s
[088/200] train loss=0.004677 nmse=-17.6299dB | val loss=0.024918 nmse=-10.4613dB | 5.5s
[089/200] train loss=0.004632 nmse=-17.6695dB | val loss=0.024950 nmse=-10.4591dB | 5.6s
[090/200] train loss=0.004584 nmse=-17.7167dB | val loss=0.024905 nmse=-10.4658dB | 5.6s
[091/200] train loss=0.004556 nmse=-17.7428dB | val loss=0.024972 nmse=-10.4547dB | 5.2s
[092/200] train loss=0.004491 nmse=-17.8074dB | val loss=0.024855 nmse=-10.4703dB | 5.6s
[093/200] train loss=0.004445 nmse=-17.8499dB | val loss=0.025152 nmse=-10.4196dB | 5.1s
[094/200] train loss=0.004403 nmse=-17.8918dB | val loss=0.025196 nmse=-10.4093dB | 5.3s
[095/200] train loss=0.004358 nmse=-17.9349dB | val loss=0.024999 nmse=-10.4518dB | 5.5s
[096/200] train loss=0.004326 nmse=-17.9676dB | val loss=0.025374 nmse=-10.3847dB | 5.4s
[097/200] train loss=0.004282 nmse=-18.0123dB | val loss=0.025351 nmse=-10.3875dB | 5.5s
[098/200] train loss=0.004221 nmse=-18.0749dB | val loss=0.025347 nmse=-10.3888dB | 5.3s
[099/200] train loss=0.004182 nmse=-18.1166dB | val loss=0.025461 nmse=-10.3673dB | 5.4s
[100/200] train loss=0.004150 nmse=-18.1486dB | val loss=0.025478 nmse=-10.3615dB | 4.8s
[101/200] train loss=0.004110 nmse=-18.1917dB | val loss=0.025452 nmse=-10.3726dB | 5.4s
[102/200] train loss=0.004070 nmse=-18.2330dB | val loss=0.025504 nmse=-10.3609dB | 4.8s
[103/200] train loss=0.004035 nmse=-18.2701dB | val loss=0.025396 nmse=-10.3816dB | 5.1s
[104/200] train loss=0.004009 nmse=-18.2971dB | val loss=0.025651 nmse=-10.3397dB | 5.5s
[105/200] train loss=0.003959 nmse=-18.3522dB | val loss=0.025570 nmse=-10.3510dB | 5.0s
[106/200] train loss=0.003929 nmse=-18.3858dB | val loss=0.025599 nmse=-10.3466dB | 5.6s
[107/200] train loss=0.003898 nmse=-18.4197dB | val loss=0.025471 nmse=-10.3685dB | 5.4s
[108/200] train loss=0.003853 nmse=-18.4716dB | val loss=0.025866 nmse=-10.3014dB | 5.1s
[109/200] train loss=0.003825 nmse=-18.5015dB | val loss=0.025505 nmse=-10.3624dB | 5.0s
[110/200] train loss=0.003784 nmse=-18.5482dB | val loss=0.025668 nmse=-10.3347dB | 5.6s
[111/200] train loss=0.003771 nmse=-18.5633dB | val loss=0.025580 nmse=-10.3493dB | 5.6s
[112/200] train loss=0.003721 nmse=-18.6205dB | val loss=0.025620 nmse=-10.3417dB | 5.4s
[113/200] train loss=0.003693 nmse=-18.6538dB | val loss=0.025765 nmse=-10.3173dB | 5.4s
[114/200] train loss=0.003665 nmse=-18.6884dB | val loss=0.025874 nmse=-10.2968dB | 5.3s
[115/200] train loss=0.003644 nmse=-18.7122dB | val loss=0.025919 nmse=-10.2926dB | 5.5s
[116/200] train loss=0.003607 nmse=-18.7584dB | val loss=0.025591 nmse=-10.3478dB | 5.6s
[117/200] train loss=0.003584 nmse=-18.7848dB | val loss=0.025823 nmse=-10.3068dB | 5.6s
[118/200] train loss=0.003554 nmse=-18.8207dB | val loss=0.025666 nmse=-10.3327dB | 5.4s
[119/200] train loss=0.003515 nmse=-18.8686dB | val loss=0.025806 nmse=-10.3090dB | 5.2s
[120/200] train loss=0.003498 nmse=-18.8914dB | val loss=0.025818 nmse=-10.3089dB | 4.3s
[121/200] train loss=0.003474 nmse=-18.9210dB | val loss=0.025924 nmse=-10.2892dB | 4.8s
[122/200] train loss=0.003439 nmse=-18.9623dB | val loss=0.025773 nmse=-10.3152dB | 4.7s
[123/200] train loss=0.003439 nmse=-18.9627dB | val loss=0.025801 nmse=-10.3125dB | 4.5s
[124/200] train loss=0.003403 nmse=-19.0095dB | val loss=0.025634 nmse=-10.3362dB | 4.7s
[125/200] train loss=0.003380 nmse=-19.0401dB | val loss=0.025989 nmse=-10.2801dB | 4.8s
[126/200] train loss=0.003359 nmse=-19.0660dB | val loss=0.025860 nmse=-10.3013dB | 4.7s
[127/200] train loss=0.003330 nmse=-19.1057dB | val loss=0.025918 nmse=-10.2912dB | 5.4s
[128/200] train loss=0.003324 nmse=-19.1143dB | val loss=0.025845 nmse=-10.3031dB | 4.8s
